Drug,Hour,Organ,Conc_umol_L,Kp
Donepezil,16.161,brain,827.95631746,3081.7684
Donepezil,16.161,gut,356.52647649,413.6185
Donepezil,16.402,blood,0.87516134,1.0
Donepezil,16.402,lung,107.52095715,151.5305
Donepezil,16.402,liver,866.02389795,1129.0157
Donepezil,16.402,kidney,39.06193416,55.5137
Donepezil,16.402,muscle,19.66114636,20.3376
Donepezil,16.402,fat,32.00442318,171080.2988
Donepezil,16.402,brain,831.26053135,3081.7684
Donepezil,16.402,gut,352.72063456,413.6185
Donepezil,16.643,blood,0.87071117,1.0
Donepezil,16.643,lung,106.94477074,151.5305
Donepezil,16.643,liver,865.23346079,1129.0157
Donepezil,16.643,kidney,38.85932981,55.5137
Donepezil,16.643,muscle,19.55808467,20.3376
Donepezil,16.643,fat,32.18559705,171080.2988
Donepezil,16.643,brain,834.52906132,3081.7684
Donepezil,16.643,gut,349.04783783,413.6185
Donepezil,16.884,blood,0.86636334,1.0
Donepezil,16.884,lung,106.38316363,151.5305
Donepezil,16.884,liver,864.41061031,1129.0157
